 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Krypton [36] , Mass = 86 amu

 Target Density =  1.5900E-04 g/cm3 = 2.3064E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.094E+00  7.114E+00  120.20 um    22.80 um    18.13 um  
  11.00 keV   1.148E+00  7.290E+00  127.26 um    23.88 um    19.10 um  
  12.00 keV   1.199E+00  7.448E+00  134.15 um    24.92 um    20.04 um  
  13.00 keV   1.248E+00  7.592E+00  140.89 um    25.93 um    20.94 um  
  14.00 keV   1.295E+00  7.723E+00  147.49 um    26.91 um    21.83 um  
  15.00 keV   1.340E+00  7.842E+00  153.98 um    27.86 um    22.69 um  
  16.00 keV   1.384E+00  7.952E+00  160.36 um    28.79 um    23.54 um  
  17.00 keV   1.427E+00  8.053E+00  166.64 um    29.69 um    24.36 um  
  18.00 keV   1.468E+00  8.147E+00  172.83 um    30.58 um    25.17 um  
  20.00 keV   1.547E+00  8.314E+00  184.99 um    32.32 um    26.75 um  
  22.50 keV   1.641E+00  8.492E+00  199.81 um    34.42 um    28.65 um  
  25.00 keV   1.730E+00  8.643E+00  214.28 um    36.44 um    30.49 um  
  27.50 keV   1.814E+00  8.771E+00  228.46 um    38.39 um    32.27 um  
  30.00 keV   1.895E+00  8.881E+00  242.38 um    40.28 um    34.00 um  
  32.50 keV   1.972E+00  8.976E+00  256.08 um    42.12 um    35.68 um  
  35.00 keV   2.047E+00  9.058E+00  269.59 um    43.91 um    37.33 um  
