 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in  H- C (gas).txt

 Ion = Krypton [36] , Mass = 85.9106 amu

 Target Density =  1.9100E-04 g/cm3 = 2.7705E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.095E+00  7.115E+00  100.02 um    18.98 um    15.10 um
  11.00 keV   1.148E+00  7.291E+00  105.90 um    19.88 um    15.90 um
  12.00 keV   1.199E+00  7.449E+00  111.63 um    20.75 um    16.68 um
  13.00 keV   1.248E+00  7.593E+00  117.24 um    21.59 um    17.44 um
  14.00 keV   1.295E+00  7.724E+00  122.74 um    22.40 um    18.17 um
  15.00 keV   1.341E+00  7.843E+00  128.14 um    23.19 um    18.89 um
  16.00 keV   1.385E+00  7.953E+00  133.44 um    23.96 um    19.59 um
  17.00 keV   1.427E+00  8.054E+00  138.67 um    24.72 um    20.28 um
  18.00 keV   1.469E+00  8.147E+00  143.83 um    25.46 um    20.96 um
  20.00 keV   1.548E+00  8.315E+00  153.95 um    26.91 um    22.27 um
  22.50 keV   1.642E+00  8.493E+00  166.28 um    28.66 um    23.85 um
  25.00 keV   1.731E+00  8.643E+00  178.32 um    30.34 um    25.38 um
  27.50 keV   1.815E+00  8.771E+00  190.12 um    31.96 um    26.86 um
  30.00 keV   1.896E+00  8.881E+00  201.71 um    33.53 um    28.30 um
  32.50 keV   1.973E+00  8.976E+00  213.12 um    35.07 um    29.71 um
  35.00 keV   2.048E+00  9.058E+00  224.36 um    36.56 um    31.08 um
  37.50 keV   2.120E+00  9.129E+00  235.47 um    38.02 um    32.43 um
