 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium88 in Butane, n-Butane (ICRU-340) (gas)2pt5MeVu.txt

 Ion = Strontium [38] , Mass = 88 amu

 Target Density =  1.3800E-04 g/cm3 = 2.0017E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.129E-01  7.302E+00  142.06 um    27.45 um    21.72 um  
  11.00 keV   7.477E-01  7.489E+00  150.37 um    28.75 um    22.88 um  
  12.00 keV   7.809E-01  7.657E+00  158.49 um    30.00 um    24.00 um  
  13.00 keV   8.128E-01  7.810E+00  166.42 um    31.22 um    25.09 um  
  14.00 keV   8.435E-01  7.950E+00  174.21 um    32.39 um    26.15 um  
  15.00 keV   8.731E-01  8.077E+00  181.86 um    33.54 um    27.18 um  
  16.00 keV   9.018E-01  8.195E+00  189.38 um    34.66 um    28.20 um  
  17.00 keV   9.295E-01  8.304E+00  196.79 um    35.76 um    29.19 um  
  18.00 keV   9.565E-01  8.405E+00  204.10 um    36.83 um    30.16 um  
  20.00 keV   1.008E+00  8.586E+00  218.46 um    38.93 um    32.06 um  
  22.50 keV   1.069E+00  8.780E+00  235.98 um    41.48 um    34.36 um  
  25.00 keV   1.127E+00  8.945E+00  253.10 um    43.93 um    36.58 um  
  27.50 keV   1.182E+00  9.086E+00  269.89 um    46.30 um    38.73 um  
  30.00 keV   1.235E+00  9.208E+00  286.40 um    48.60 um    40.83 um  
  32.50 keV   1.285E+00  9.314E+00  302.66 um    50.85 um    42.88 um  
  35.00 keV   1.334E+00  9.407E+00  318.71 um    53.05 um    44.88 um  
