 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Strontium [38] , Mass = 87.91 amu

 Target Density =  1.5890E-04 g/cm3 = 2.3049E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.133E-01  7.303E+00  123.32 um    23.84 um    18.87 um  
  11.00 keV   7.481E-01  7.490E+00  130.54 um    24.97 um    19.87 um  
  12.00 keV   7.813E-01  7.658E+00  137.59 um    26.06 um    20.84 um  
  13.00 keV   8.133E-01  7.811E+00  144.48 um    27.11 um    21.79 um  
  14.00 keV   8.440E-01  7.951E+00  151.24 um    28.13 um    22.71 um  
  15.00 keV   8.736E-01  8.079E+00  157.88 um    29.13 um    23.61 um  
  16.00 keV   9.022E-01  8.196E+00  164.41 um    30.10 um    24.49 um  
  17.00 keV   9.300E-01  8.305E+00  170.85 um    31.05 um    25.35 um  
  18.00 keV   9.569E-01  8.406E+00  177.20 um    31.98 um    26.20 um  
  20.00 keV   1.009E+00  8.587E+00  189.67 um    33.81 um    27.85 um  
  22.50 keV   1.070E+00  8.780E+00  204.88 um    36.03 um    29.84 um  
  25.00 keV   1.128E+00  8.945E+00  219.74 um    38.15 um    31.77 um  
  27.50 keV   1.183E+00  9.087E+00  234.32 um    40.21 um    33.64 um  
  30.00 keV   1.235E+00  9.209E+00  248.66 um    42.22 um    35.46 um  
  32.50 keV   1.286E+00  9.315E+00  262.78 um    44.17 um    37.24 um  
  35.00 keV   1.334E+00  9.407E+00  276.71 um    46.07 um    38.98 um  
