 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Butane2.5MeVuRun, n-Butane (ICRU-340) (gas).txt

 Ion = Strontium [38] , Mass = 89 amu

 Target Density =  1.3840E-04 g/cm3 = 2.0075E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.089E-01  7.289E+00  142.25 um    27.37 um    21.65 um  
  11.00 keV   7.435E-01  7.476E+00  150.56 um    28.67 um    22.81 um  
  12.00 keV   7.766E-01  7.644E+00  158.68 um    29.91 um    23.92 um  
  13.00 keV   8.083E-01  7.798E+00  166.61 um    31.12 um    25.00 um  
  14.00 keV   8.388E-01  7.938E+00  174.39 um    32.29 um    26.06 um  
  15.00 keV   8.682E-01  8.066E+00  182.04 um    33.44 um    27.09 um  
  16.00 keV   8.967E-01  8.184E+00  189.55 um    34.55 um    28.10 um  
  17.00 keV   9.243E-01  8.293E+00  196.96 um    35.64 um    29.09 um  
  18.00 keV   9.511E-01  8.395E+00  204.27 um    36.70 um    30.06 um  
  20.00 keV   1.003E+00  8.576E+00  218.62 um    38.80 um    31.95 um  
  22.50 keV   1.063E+00  8.771E+00  236.12 um    41.33 um    34.23 um  
  25.00 keV   1.121E+00  8.937E+00  253.23 um    43.77 um    36.44 um  
  27.50 keV   1.176E+00  9.080E+00  270.00 um    46.13 um    38.58 um  
  30.00 keV   1.228E+00  9.203E+00  286.48 um    48.42 um    40.67 um  
  32.50 keV   1.278E+00  9.310E+00  302.72 um    50.65 um    42.71 um  
  35.00 keV   1.326E+00  9.403E+00  318.75 um    52.83 um    44.70 um  
