 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium89_2 in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Strontium [38] , Mass = 89 amu

 Target Density =  1.5890E-04 g/cm3 = 2.3049E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.089E-01  7.289E+00  123.90 um    23.84 um    18.86 um  
  11.00 keV   7.435E-01  7.476E+00  131.14 um    24.97 um    19.86 um  
  12.00 keV   7.766E-01  7.644E+00  138.20 um    26.05 um    20.83 um  
  13.00 keV   8.083E-01  7.798E+00  145.12 um    27.11 um    21.78 um  
  14.00 keV   8.388E-01  7.938E+00  151.89 um    28.13 um    22.70 um  
  15.00 keV   8.682E-01  8.066E+00  158.55 um    29.12 um    23.60 um  
  16.00 keV   8.967E-01  8.184E+00  165.10 um    30.09 um    24.47 um  
  17.00 keV   9.243E-01  8.293E+00  171.55 um    31.04 um    25.33 um  
  18.00 keV   9.511E-01  8.395E+00  177.92 um    31.97 um    26.18 um  
  20.00 keV   1.003E+00  8.576E+00  190.41 um    33.79 um    27.83 um  
  22.50 keV   1.063E+00  8.771E+00  205.66 um    36.00 um    29.81 um  
  25.00 keV   1.121E+00  8.937E+00  220.56 um    38.12 um    31.74 um  
  27.50 keV   1.176E+00  9.080E+00  235.16 um    40.18 um    33.60 um  
  30.00 keV   1.228E+00  9.203E+00  249.52 um    42.17 um    35.42 um  
  32.50 keV   1.278E+00  9.310E+00  263.67 um    44.12 um    37.20 um  
  35.00 keV   1.326E+00  9.403E+00  277.63 um    46.02 um    38.94 um  
