 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Butane, n-Butane (ICRU-340) (gas)2pt5MeVperu.txt

 Ion = Krypton [36] , Mass = 86 amu

 Target Density =  1.3800E-04 g/cm3 = 2.0017E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.094E+00  7.114E+00  138.49 um    26.27 um    20.89 um  
  11.00 keV   1.148E+00  7.290E+00  146.63 um    27.52 um    22.01 um  
  12.00 keV   1.199E+00  7.448E+00  154.57 um    28.72 um    23.08 um  
  13.00 keV   1.248E+00  7.592E+00  162.33 um    29.88 um    24.13 um  
  14.00 keV   1.295E+00  7.723E+00  169.94 um    31.00 um    25.15 um  
  15.00 keV   1.340E+00  7.842E+00  177.41 um    32.10 um    26.14 um  
  16.00 keV   1.384E+00  7.952E+00  184.76 um    33.17 um    27.12 um  
  17.00 keV   1.427E+00  8.053E+00  192.00 um    34.21 um    28.07 um  
  18.00 keV   1.468E+00  8.147E+00  199.14 um    35.23 um    29.00 um  
  20.00 keV   1.547E+00  8.314E+00  213.14 um    37.24 um    30.82 um  
  22.50 keV   1.641E+00  8.492E+00  230.22 um    39.66 um    33.01 um  
  25.00 keV   1.730E+00  8.643E+00  246.89 um    41.99 um    35.13 um  
  27.50 keV   1.814E+00  8.771E+00  263.22 um    44.23 um    37.18 um  
  30.00 keV   1.895E+00  8.881E+00  279.26 um    46.41 um    39.17 um  
  32.50 keV   1.972E+00  8.976E+00  295.05 um    48.53 um    41.11 um  
  35.00 keV   2.047E+00  9.058E+00  310.62 um    50.60 um    43.01 um  
